Ticker,Recent,1M,3M,6M,12M
BA,210.98,216.67,148.14,166.01,322.02
BAC,33.37,29.98,23.47,25.27,33.01
BAX,78.73,79.2,78.15,90.73,90.5
BBY,120.51,101.38,111.11,98.1,88.12
BDX,256.32,246.68,235.89,276.4,282.2
BEN,27.62,24.78,18.64,21.12,24.84
BF.B
BIIB,278.03,243.58,244.26,277.36,282.52
BIO,662.35,574.83,559.46,530.77,368.64
BK,41.93,41.69,34.08,36.35,44.46
BKNG,2150.5801,2205.26,1605.05,1707.54,1893.95
BKR,22.7,21.21,13.7,15.81,21.48
BLK,722.98,708.94,600.71,577.6,536.49
BLL,89.68,92.86,88.73,73.77,72.59
BMY,59.99,61.92,57.76,59.15,64.14
BR,148.07,152.11,135.48,134.01,129.54
BRK.B
BSX,38.39,35.55,34.07,39.81,43.95
BWA,41.99,39.19,36.65,38.92,35.29
BXP,94.1,93.87,71.15,90.59,142.93
C,63.63,60.86,41.13,52.52,76.48
CAG,34.55,36.13,35.86,37.63,33.2
CAH,51.86,53.49,45.96,57.7,53.74
CARR,37.28,37.73,33.3,27.18
CAT,197.99,180.04,151.16,140.53,135.78
CB,164.16,151.93,127.42,131.94,150.89
CBOE,89.39,92.62,78.47,89.14,121.5
CBRE,71.33,62.4,43.92,43.0,61.45
CCI,164.46,156.39,156.85,173.87,149.05
CCL,20.6,21.79,12.3,14.65,46.5
CDNS,145.68,135.25,107.64,105.97,73.14
CDW,155.4,130.0,118.73,115.64,134.86
